btm,P_1,P_5,P_10,P_100,map_cut_1,map_cut_5,map_cut_10,map_cut_100,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,ndcg_cut_100,recall_1,recall_5,recall_10,recall_100,success_1,success_5,success_10,success_100
anthropic-sonnet4-1300,0.0,0.1734693877551017,0.0913265306122448,0.0091326530612244,0.0,0.3097562358276644,0.3163382734045999,0.3163382734045999,0.0,0.4136151771952681,0.4259768135172925,0.4259768135172925,0.0,0.655952380952381,0.6887755102040817,0.6887755102040817,0.0,0.7571428571428571,0.7806122448979592,0.7806122448979592
anthropic-sonnet4-2000,0.0,0.1981333333333339,0.1016666666666669,0.0101666666666666,0.0,0.3384999999999997,0.341759259259259,0.341759259259259,0.0,0.4536774524672463,0.4592493884619988,0.4592493884619988,0.0,0.7082222222222222,0.7216666666666666,0.7216666666666666,0.0,0.8433333333333334,0.8533333333333333,0.8533333333333333
anthropic-sonnet4-700,0.0,0.1794392523364482,0.0934579439252334,0.0093457943925233,0.0,0.311178608515057,0.3154287197745141,0.3154287197745141,0.0,0.422670942622082,0.4302342405149349,0.4302342405149349,0.0,0.6834890965732087,0.7009345794392523,0.7009345794392523,0.0,0.7981308411214953,0.8130841121495326,0.8130841121495326
xai-grok4-1300,0.0,0.1783673469387751,0.0913265306122447,0.0091326530612244,0.0,0.3216638321995466,0.3243201328150308,0.3243201328150308,0.0,0.4358471609861792,0.4403022434940856,0.4403022434940856,0.0,0.7151360544217688,0.7253401360544218,0.7253401360544218,0.0,0.8081632653061226,0.8163265306122449,0.8163265306122449
xai-grok4-2000,0.0,0.1842384105960271,0.0937086092715235,0.0093708609271522,0.0,0.3554267844002942,0.357312362030905,0.357312362030905,0.0,0.4714289488326648,0.4750503464841318,0.4750503464841318,0.0,0.7552980132450331,0.7643487858719648,0.7643487858719648,0.0,0.8456953642384105,0.8543046357615894,0.8543046357615894
xai-grok4-700,0.0,0.1984905660377355,0.1028301886792451,0.0102830188679245,0.0,0.3641928721174003,0.3693291404612159,0.3693291404612159,0.0,0.4856248968425287,0.4955291914437458,0.4955291914437458,0.0,0.7833333333333333,0.809748427672956,0.809748427672956,0.0,0.8735849056603774,0.8962264150943395,0.8962264150943395
baseline-SemEval-15-res-1300,0.1696,0.2035199999999996,0.1214399999999998,0.012144,0.1616,0.4494866666666667,0.4764493650793653,0.4764493650793653,0.1696,0.5501896732938156,0.6002184303900782,0.6002184303900782,0.1616,0.8097333333333333,0.9472,0.9472,0.1696,0.8640000000000001,0.968,0.968
baseline-SemEval-16-res-2000,0.1344086021505376,0.2038709677419353,0.1204301075268817,0.0120430107526881,0.1169354838709677,0.4197341696535244,0.4454595494111624,0.4454595494111624,0.1344086021505376,0.5258135762139908,0.5709357149035166,0.5709357149035166,0.1169354838709677,0.7980286738351257,0.9184587813620072,0.9184587813620072,0.1344086021505376,0.8494623655913978,0.9301075268817204,0.9301075268817204
,,,,,,,,,,,,,,,,,,,,
rnd,P_1,P_5,P_10,P_100,map_cut_1,map_cut_5,map_cut_10,map_cut_100,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,ndcg_cut_100,recall_1,recall_5,recall_10,recall_100,success_1,success_5,success_10,success_100
openai-gpt3.5turbo-1300,0.0,0.0510204081632652,0.0255102040816326,0.0025510204081632,0.0,0.0816326530612245,0.0816326530612245,0.0816326530612245,0.0,0.123603542783321,0.123603542783321,0.123603542783321,0.0,0.2448979591836733,0.2448979591836733,0.2448979591836733,0.0,0.2551020408163265,0.2551020408163265,0.2551020408163265
openai-gpt3.5turbo-2000,0.0,0.0411522633744855,0.0205761316872427,0.0020576131687242,0.0,0.0685871056241426,0.0685871056241426,0.0685871056241426,0.0,0.102880658436214,0.102880658436214,0.102880658436214,0.0,0.205761316872428,0.205761316872428,0.205761316872428,0.0,0.205761316872428,0.205761316872428,0.205761316872428
openai-gpt3.5turbo-700,0.0,0.0981132075471697,0.0490566037735848,0.0049056603773584,0.0,0.2154088050314465,0.2154088050314465,0.2154088050314465,0.0,0.2860441685646991,0.2860441685646991,0.2860441685646991,0.0,0.490566037735849,0.490566037735849,0.490566037735849,0.0,0.490566037735849,0.490566037735849,0.490566037735849
